,country,country_long,name,capacity_mw,latitude,longitude,primary_fuel
101,ARG,Argentina,ATUCHA I,370.0,-33.967,-59.2059,Nuclear
102,ARG,Argentina,ATUCHA II,745.0,-33.9674,-59.2045,Nuclear
229,ARG,Argentina,EMBALSE,648.0,-32.2316,-64.4422,Nuclear
328,ARM,Armenia,Armenian-2,375.0,40.1805,44.1498,Nuclear
1043,BEL,Belgium,DOEL 4,2910.0,51.3254,4.2597,Nuclear
1081,BEL,Belgium,TIHANGE 1N,962.0,50.5342,5.2751,Nuclear
1082,BEL,Belgium,TIHANGE 3,2053.8,50.5342,5.2751,Nuclear
1206,BRA,Brazil,Almirante Ãlvaro Alberto - Unidade I (Antiga Angra I),640.0,-23.0087,-44.4574,Nuclear
1207,BRA,Brazil,Almirante Ãlvaro Alberto - Unidade II (Antiga Angra II),1350.0,-23.0072,-44.4588,Nuclear
3528,BGR,Bulgaria,KOZLODUY,2000.0,43.7438,23.7723,Nuclear
3727,CAN,Canada,Bruce A,3220.0,44.3391,-81.5747,Nuclear
3728,CAN,Canada,Bruce B,3390.0,44.319,-81.6027,Nuclear
3848,CAN,Canada,Darlington,3740.0,43.8697,-78.7239,Nuclear
4351,CAN,Canada,Pickering A,1084.0,43.8107,-79.0689,Nuclear
4352,CAN,Canada,Pickering B,2160.0,43.8096,-79.0639,Nuclear
4364,CAN,Canada,Point Lepreau,660.0,45.0686,-66.4543,Nuclear
5258,CHN,China,CEFR,20.0,39.74,116.03,Nuclear
5348,CHN,China,Changjiang,1220.0,19.46,108.9,Nuclear
5590,CHN,China,Daya Bay,1888.0,22.6,114.54,Nuclear
5736,CHN,China,Fangchenggang,2000.0,21.67,108.56,Nuclear
5739,CHN,China,Fangjiashan,2024.0,30.44,120.94,Nuclear
5841,CHN,China,Fuqing,4000.0,25.4426,119.444,Nuclear
6449,CHN,China,Hongyanhe,4183.0,39.8,121.48,Nuclear
7366,CHN,China,Ling Ao,3914.0,22.6,114.55,Nuclear
7609,CHN,China,Ningde,4072.0,27.0446,120.2855,Nuclear
7842,CHN,China,Qinshan 2,4101.0,30.433,120.9501,Nuclear
8490,CHN,China,Tianwan,1980.0,34.69,119.46,Nuclear
8885,CHN,China,Yangjiang,4000.0,21.71,112.26,Nuclear
9503,CZE,Czech Republic,Dukonavy,2040.0,49.0852,16.1479,Nuclear
9774,CZE,Czech Republic,TemelÃ­n,2133.0,49.1796,14.3795,Nuclear
10191,FIN,Finland,Loviisa Y1,992.0,60.3708,26.3468,Nuclear
10212,FIN,Finland,Olkiluoto 1,1760.0,61.2371,21.4433,Nuclear
10417,FRA,France,BELLEVILLE,2620.0,47.5103,2.875,Nuclear
10418,FRA,France,BLAYAIS,3640.0,45.256,-0.6932,Nuclear
10425,FRA,France,BUGEY,3580.0,45.7973,5.2706,Nuclear
10591,FRA,France,CATTENOM,5200.0,49.416,6.2169,Nuclear
10594,FRA,France,CHINON,3620.0,47.2254,0.1656,Nuclear
10595,FRA,France,CHOOZ,3000.0,50.09,4.7894,Nuclear
10596,FRA,France,CIVAUX,2990.0,46.4563,0.6548,Nuclear
10603,FRA,France,CRUAS,3660.0,44.6325,4.7546,Nuclear
10823,FRA,France,DAMPIERRE,3560.0,47.7321,2.5185,Nuclear
10892,FRA,France,FESSENHEIM,1760.0,47.9032,7.5631,Nuclear
10893,FRA,France,FLAMANVILLE,2660.0,49.5366,-1.8823,Nuclear
10973,FRA,France,GOLFECH,2620.0,44.106,0.8443,Nuclear
10975,FRA,France,GRAVELINES,5460.0,51.0141,2.1332,Nuclear
11601,FRA,France,NOGENT,2620.0,48.5171,3.5181,Nuclear
11676,FRA,France,PALUEL,5320.0,49.8582,0.6354,Nuclear
11678,FRA,France,PENLY,2660.0,49.9764,1.2107,Nuclear
11905,FRA,France,ST ALBAN,2670.0,45.4043,4.7554,Nuclear
11907,FRA,France,ST LAURENT,1830.0,47.7197,1.5783,Nuclear
12238,FRA,France,TRICASTIN 1,3660.0,44.3311,4.7311,Nuclear
12536,DEU,Germany,BROKDORF,1480.0,53.8506,9.345,Nuclear
12728,DEU,Germany,EMSLAND,1406.0,52.4716,7.3204,Nuclear
12862,DEU,Germany,Grohnde,1360.0,52.0356,9.4135,Nuclear
13061,DEU,Germany,ISAR-2,1485.0,48.6049,12.2936,Nuclear
13120,DEU,Germany,Kernkraft Gundremmingen,2572.0,48.515,10.4016,Nuclear
13312,DEU,Germany,NECKARWESTHEIM-2,1400.0,49.0408,9.1759,Nuclear
13404,DEU,Germany,PHILIPPSBURG-2,1468.0,49.2529,8.4364,Nuclear
14028,HUN,Hungary,Paksi AtomerÅmÅ±,1886.8,46.5739,18.8536,Nuclear
14395,IND,India,DAE RAJASTHAN,100.0,24.8747,75.6189,Nuclear
14653,IND,India,KAIGA,880.0,14.865,74.4385,Nuclear
14656,IND,India,KAKRAPARA,440.0,21.2384,73.3489,Nuclear
14733,IND,India,KUNDANKULAM,2000.0,8.1691,77.1327,Nuclear
14840,IND,India,Kudankulam,2000.0,8.1689,77.7126,Nuclear
14882,IND,India,M.A.P.P.,440.0,12.5571,80.1754,Nuclear
15013,IND,India,N.A.P.S,440.0,28.156,78.4089,Nuclear
15210,IND,India,R.A.P.S.,1080.0,24.8747,75.6189,Nuclear
15457,IND,India,TARAPUR,1400.0,19.8294,72.6617,Nuclear
15834,IRN,Iran,Bushehr,1000.0,28.8298,50.8857,Nuclear
16512,JPN,Japan,Fukushima Daina,4400.0,37.3164,141.0265,Nuclear
16523,JPN,Japan,Genkai,3478.0,33.5152,129.836,Nuclear
16537,JPN,Japan,Hamaoka,3617.0,34.6235,138.1421,Nuclear
16548,JPN,Japan,Higashi-Dori,1100.0,41.188,141.3903,Nuclear
16575,JPN,Japan,Ikata,2022.0,33.4909,132.3088,Nuclear
16625,JPN,Japan,Kashiwazaki Kariwa,8212.0,37.4259,138.5941,Nuclear
16696,JPN,Japan,Mihama,826.0,35.7024,135.9634,Nuclear
16769,JPN,Japan,Ohi,4710.0,35.5424,135.6544,Nuclear
16788,JPN,Japan,Onagawa,2174.0,38.4,141.5,Nuclear
16834,JPN,Japan,Sendai,1780.0,31.8335,130.1887,Nuclear
16843,JPN,Japan,Shika,1746.0,37.0609,136.7265,Nuclear
16847,JPN,Japan,Shimane,820.0,35.5379,132.9991,Nuclear
16894,JPN,Japan,Takahama,3392.0,35.5223,135.5036,Nuclear
16920,JPN,Japan,Tokai Daini,1100.0,36.4215,140.6028,Nuclear
16928,JPN,Japan,Tomari,2000.0,43.0367,140.5125,Nuclear
16952,JPN,Japan,Tsuruga,1160.0,35.7519,136.0189,Nuclear
17440,MEX,Mexico,Laguna Verde,1510.0,19.7208,-96.4064,Nuclear
17688,NLD,Netherlands,Borssele Nuclear Power Station,485.0,51.4312,3.7174,Nuclear
18189,PAK,Pakistan,Chasnupp,1330.0,32.392,71.4616,Nuclear
18209,PAK,Pakistan,Kanupp,137.0,24.845,66.7888,Nuclear
19142,ROU,Romania,NPP Cernavoda,1298.0,44.3215,28.0568,Nuclear
19194,RUS,Russia,Balakovo NPP,4000.0,52.0928,47.9539,Nuclear
19205,RUS,Russia,Beloyarsk,1480.0,56.8417,61.3225,Nuclear
19212,RUS,Russia,Bilibino,48.0,68.0503,166.5389,Nuclear
19381,RUS,Russia,Kalinn NPP,4000.0,57.905,35.0614,Nuclear
19407,RUS,Russia,Kola NPP,1760.0,67.4667,32.4667,Nuclear
19430,RUS,Russia,Kursk,4000.0,51.675,35.6056,Nuclear
19435,RUS,Russia,Leningrad NPP,4000.0,59.8528,29.0486,Nuclear
19507,RUS,Russia,Novovoronezh,1880.0,51.2822,39.21,Nuclear
19552,RUS,Russia,Rostov NPP,4000.0,47.5993,42.3717,Nuclear
19589,RUS,Russia,Smolensk,3000.0,54.1647,33.2367,Nuclear
19862,SVK,Slovakia,Bohunice Nuclear Power Plant Slovakia,880.0,48.496,17.6816,Nuclear
19880,SVK,Slovakia,Mochovce Nuclear Power Plant Slovakia,880.0,48.2621,18.459,Nuclear
19895,SVN,Slovenia,Krsko (NEK),696.0,45.9389,15.516,Nuclear
19951,ZAF,South Africa,Koeberg,1800.0,-33.6737,18.4281,Nuclear
20051,KOR,South Korea,Hanbit,5900.0,35.4105,126.4175,Nuclear
20053,KOR,South Korea,Hanul,5900.0,37.0931,129.383,Nuclear
20071,KOR,South Korea,Kori,3137.0,35.3199,129.2948,Nuclear
20100,KOR,South Korea,Shin-Kori,3340.0,35.3271,129.3017,Nuclear
20101,KOR,South Korea,Shin-Wolsong,2000.0,35.7221,129.4786,Nuclear
20117,KOR,South Korea,Wolsong,2799.0,35.7111,129.4743,Nuclear
20158,ESP,Spain,ASCO GR,1990.5,41.2008,0.5679,Nuclear
20255,ESP,Spain,CN ALMARAZ 1,2016.9,39.807,-5.6986,Nuclear
20256,ESP,Spain,CN COFRENTES,1063.94,39.2134,-1.0509,Nuclear
20921,ESP,Spain,TRILLO,1003.41,40.7016,-2.6227,Nuclear
20933,ESP,Spain,VANDELLOS GR 2,1045.31,40.9511,0.8662,Nuclear
21072,SWE,Sweden,Forsmark,3227.0,60.4028,18.1744,Nuclear
21155,SWE,Sweden,Oskarshamn,2603.0,57.413,16.6683,Nuclear
21161,SWE,Sweden,Ringhals,3932.0,57.2574,12.1087,Nuclear
21275,CHE,Switzerland,Kernkraftwerk Beznau,760.0,47.552,8.2281,Nuclear
21276,CHE,Switzerland,Kernkraftwerk GÃ¶sgen,1035.0,47.3656,7.968,Nuclear
21277,CHE,Switzerland,Kernkraftwerk Leibstadt,1245.0,47.6012,8.1845,Nuclear
21278,CHE,Switzerland,Kernkraftwerk MÃ¼hleberg,390.0,46.9689,7.2684,Nuclear
21396,TWN,Taiwan,Chinshan,1272.0,25.2861,121.5874,Nuclear
21410,TWN,Taiwan,Kuosheng,2040.0,25.2025,121.6629,Nuclear
21413,TWN,Taiwan,Maanshan,1902.0,21.9589,120.7501,Nuclear
21882,UKR,Ukraine,Khmelnytska,2000.0,50.3024,26.6473,Nuclear
21908,UKR,Ukraine,Rivne (Rouno),2835.0,51.3245,25.8974,Nuclear
21914,UKR,Ukraine,South Ukraine,3000.0,47.812,31.22,Nuclear
21926,UKR,Ukraine,Zaporozhye,6000.0,47.5119,34.5863,Nuclear
22730,GBR,United Kingdom,Dungeness B,1050.0,50.9133,0.964,Nuclear
23090,GBR,United Kingdom,Hartlepool,1180.0,54.6341,-1.1801,Nuclear
23116,GBR,United Kingdom,Heysham 1,1155.0,54.0285,-2.916,Nuclear
23117,GBR,United Kingdom,Heysham 2,1230.0,54.0285,-2.916,Nuclear
23168,GBR,United Kingdom,Hinkley Point B,955.0,51.2085,-3.1334,Nuclear
23215,GBR,United Kingdom,Hunterston B,965.0,55.7204,-4.8964,Nuclear
24207,GBR,United Kingdom,Sizewell B,1198.0,52.2145,1.6206,Nuclear
24430,GBR,United Kingdom,Torness,1185.0,55.9679,-2.4086,Nuclear
25150,USA,United States of America,Arkansas Nuclear One,1845.0,35.311,-93.2351,Nuclear
25433,USA,United States of America,Beaver Valley,1846.8,40.6219,-80.4336,Nuclear
25766,USA,United States of America,Braidwood Generation Station,2449.8,41.2435,-88.2286,Nuclear
25851,USA,United States of America,Browns Ferry,3494.0,34.7042,-87.1189,Nuclear
25864,USA,United States of America,Brunswick Nuclear,2003.2,33.9597,-78.0114,Nuclear
25950,USA,United States of America,Byron Generating Station,2449.8,42.0742,-89.2819,Nuclear
26098,USA,United States of America,Callaway,1235.8,38.7589,-91.7788,Nuclear
26104,USA,United States of America,Calvert Cliffs Nuclear Power Plant,1850.4,38.4344,-76.4417,Nuclear
26248,USA,United States of America,Catawba,2410.2,35.0514,-81.0694,Nuclear
26522,USA,United States of America,Clinton Power Station,1138.3,40.1719,-88.8339,Nuclear
26601,USA,United States of America,Columbia Generating Station,1200.0,46.4711,-119.3339,Nuclear
26613,USA,United States of America,Comanche Peak,2430.0,32.2984,-97.7855,Nuclear
26657,USA,United States of America,Cooper Nuclear Station,801.0,40.3628,-95.6408,Nuclear
26970,USA,United States of America,Davis Besse,925.2,41.5967,-83.0861,Nuclear
27091,USA,United States of America,Diablo Canyon,2323.0,35.2115,-120.8555,Nuclear
27155,USA,United States of America,Donald C Cook,2285.3,41.9756,-86.5652,Nuclear
27184,USA,United States of America,Dresden Generating Station,2018.6,41.39,-88.27,Nuclear
27204,USA,United States of America,Duane Arnold Energy Center,679.5,42.1011,-91.7781,Nuclear
27354,USA,United States of America,Edwin I Hatch,1848.0,31.9342,-82.3447,Nuclear
27635,USA,United States of America,Fermi,1281.0,41.9631,-83.2581,Nuclear
28191,USA,United States of America,Grand Gulf,1440.0,32.0081,-91.0478,Nuclear
28354,USA,United States of America,H B Robinson,768.6,34.4017,-80.1589,Nuclear
28467,USA,United States of America,Harris,950.9,35.6334,-78.9556,Nuclear
28884,USA,United States of America,Indian Point 2,1299.0,41.2706,-73.9527,Nuclear
28885,USA,United States of America,Indian Point 3,1012.0,41.2706,-73.9526,Nuclear
29050,USA,United States of America,James A Fitzpatrick,883.3,43.5214,-76.4084,Nuclear
29144,USA,United States of America,Joseph M Farley,1776.4,31.2231,-85.1116,Nuclear
29429,USA,United States of America,LaSalle Generating Station,2340.0,41.2455,-88.6691,Nuclear
29639,USA,United States of America,Limerick,2277.0,40.2243,-75.5874,Nuclear
30071,USA,United States of America,McGuire,2440.6,35.4331,-80.9486,Nuclear
30266,USA,United States of America,Millstone,2162.9,41.3107,-72.1677,Nuclear
30385,USA,United States of America,Monticello Nuclear Facility,685.0,45.3338,-93.8493,Nuclear
30729,USA,United States of America,Nine Mile Point Nuclear Station,1901.1,43.5211,-76.41,Nuclear
30766,USA,United States of America,North Anna,1960.4,38.06,-77.7897,Nuclear
30934,USA,United States of America,Oconee,2666.7,34.7939,-82.8986,Nuclear
31165,USA,United States of America,PSEG Hope Creek Generating Station,1290.7,39.4666,-75.5377,Nuclear
31168,USA,United States of America,PSEG Salem Generating Station,2381.8,39.4625,-75.5358,Nuclear
31195,USA,United States of America,Palisades,811.8,42.323,-86.3146,Nuclear
31208,USA,United States of America,Palo Verde,4209.6,33.3881,-112.8617,Nuclear
31304,USA,United States of America,Peach Bottom,2876.4,39.7589,-76.2687,Nuclear
31363,USA,United States of America,Perry,1311.6,41.8006,-81.1439,Nuclear
31520,USA,United States of America,Point Beach Nuclear Plant,1311.0,44.2806,-87.5369,Nuclear
31599,USA,United States of America,Prairie Island,1186.2,44.622,-92.6333,Nuclear
31679,USA,United States of America,Quad Cities Generating Station,2018.6,41.7261,-90.3103,Nuclear
31707,USA,United States of America,R E Ginna Nuclear Power Plant,614.0,43.2777,-77.3099,Nuclear
31957,USA,United States of America,River Bend,1035.9,30.757,-91.3327,Nuclear
32413,USA,United States of America,Seabrook,1242.0,42.8992,-70.8489,Nuclear
32455,USA,United States of America,Sequoyah,2441.0,35.2267,-85.0917,Nuclear
32789,USA,United States of America,South Texas Project,2708.6,28.795,-96.0481,Nuclear
32900,USA,United States of America,St Lucie,2160.0,27.3486,-80.2464,Nuclear
33143,USA,United States of America,Surry,1695.0,37.1661,-76.6986,Nuclear
33247,USA,United States of America,TalenEnergy Susquehanna,2532.0,41.0919,-76.1462,Nuclear
33524,USA,United States of America,Turkey Point,2861.2,25.4356,-80.3308,Nuclear
33710,USA,United States of America,V C Summer,1029.6,34.2983,-81.3153,Nuclear
33850,USA,United States of America,Vogtle,2430.0,33.1427,-81.7625,Nuclear
34035,USA,United States of America,Waterford 3,1199.8,29.9953,-90.4716,Nuclear
34055,USA,United States of America,Watts Bar Nuclear Plant,2539.8,35.6021,-84.7895,Nuclear
34409,USA,United States of America,Wolf Creek Generating Station,1267.7,38.2393,-95.6898,Nuclear
